Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 058 | train 0.0620 | val 0.0629 | val macro-minF1 94.35%
[seed 1] Epoch 059 | train 0.0624 | val 0.0647 | val macro-minF1 93.79%
[seed 1] Epoch 060 | train 0.0621 | val 0.0600 | val macro-minF1 94.43%
[seed 1] Epoch 061 | train 0.0633 | val 0.0624 | val macro-minF1 93.99%
[seed 1] Epoch 062 | train 0.0617 | val 0.0600 | val macro-minF1 94.25%
[seed 1] Epoch 063 | train 0.0637 | val 0.0605 | val macro-minF1 94.44%
[seed 1] Epoch 064 | train 0.0619 | val 0.0626 | val macro-minF1 93.97%
[seed 1] Epoch 065 | train 0.0605 | val 0.0608 | val macro-minF1 94.20%
[seed 1] Epoch 066 | train 0.0628 | val 0.0631 | val macro-minF1 93.86%
[seed 1] Epoch 067 | train 0.0649 | val 0.0628 | val macro-minF1 93.96%
[seed 1] Epoch 068 | train 0.0636 | val 0.0586 | val macro-minF1 94.11%
[seed 1] Epoch 069 | train 0.0628 | val 0.0582 | val macro-minF1 94.55%
[seed 1] Epoch 070 | train 0.0639 | val 0.0653 | val macro-minF1 94.15%
[seed 1] Epoch 071 | train 0.0656 | val 0.0599 | val macro-minF1 94.44%
[seed 1] Epoch 072 | train 0.0619 | val 0.0590 | val macro-minF1 94.20%
[seed 1] Epoch 073 | train 0.0651 | val 0.0608 | val macro-minF1 94.14%
[seed 1] Epoch 074 | train 0.0595 | val 0.0600 | val macro-minF1 94.77%
[seed 1] Epoch 075 | train 0.0615 | val 0.0594 | val macro-minF1 93.98%
[seed 1] Epoch 076 | train 0.0620 | val 0.0603 | val macro-minF1 94.58%
[seed 1] Epoch 077 | train 0.0615 | val 0.0615 | val macro-minF1 94.56%
[seed 1] Epoch 078 | train 0.0598 | val 0.0590 | val macro-minF1 94.27%
[seed 1] Epoch 079 | train 0.0640 | val 0.0659 | val macro-minF1 94.25%
[seed 1] Epoch 080 | train 0.0607 | val 0.0581 | val macro-minF1 94.45%
[seed 1] Epoch 081 | train 0.0597 | val 0.0581 | val macro-minF1 93.92%
[seed 1] Epoch 082 | train 0.0606 | val 0.0624 | val macro-minF1 93.60%
[seed 1] Epoch 083 | train 0.0647 | val 0.0636 | val macro-minF1 93.62%
[seed 1] Epoch 084 | train 0.0597 | val 0.0601 | val macro-minF1 94.21%
[seed 1] Epoch 085 | train 0.0613 | val 0.0627 | val macro-minF1 93.95%
[seed 1] Epoch 086 | train 0.0613 | val 0.0579 | val macro-minF1 94.12%
[seed 1] Epoch 087 | train 0.0599 | val 0.0658 | val macro-minF1 94.53%
[seed 1] Epoch 088 | train 0.0587 | val 0.0578 | val macro-minF1 94.48%
[seed 1] Epoch 089 | train 0.0595 | val 0.0617 | val macro-minF1 94.07%
[seed 1] Epoch 090 | train 0.0585 | val 0.0584 | val macro-minF1 94.71%
