subset_id,subset_size,subset_clients,node_count_std,node_count_range,density_std,density_range,in_degree_jsd_mean,out_degree_jsd_mean,motif_profile_jsd_mean,label_prev_jsd_mean,labelset_size_jsd_mean,label_mixing_jsd_mean,generator_entropy,generator_entropy_norm,param_cv2_mean,param_avg_pairwise_zdist,param_cv2_n,param_cv2_d,param_cv2_r
s4_049,4,2|5|6|9,353.5533905932738,1000.0,0.00040750108331201874,0.0009984982481230607,0.015161887582770692,0.01524946596659348,0.044762565815687785,0.03187628166583595,0.057316234142107306,0.04724727895435178,0.5623351446194949,0.8112781244601233,0.03853742283318109,2.7611338565193617,0.05555555555555555,0.030470914127422474,0.029585798816565246
s5_000,5,0|1|7|8|9,447.21359549995793,1000.0,0.0007494739283424393,0.0020035032531280656,0.03674128922398738,0.03775561965322252,0.04372538218368735,0.023806242121431773,0.04078787841173133,0.03672687028235788,0.6730116670093538,0.9709505944548091,0.04133230452674834,2.6205834022366177,0.08888888888888889,0.0243055555555545,0.010802469135801634
s5_001,5,3|4|6|11|15,447.21359549995793,1000.0,0.0007463714794658441,0.0019944942441190564,0.01873825509424759,0.020239659869665215,0.04446329295396455,0.030670046508464794,0.07436553571242073,0.048494272639600024,0.6730116670093538,0.9709505944548091,0.051476890113252426,2.612563434851577,0.08888888888888889,0.04166666666666486,0.0238751147842035
s5_002,5,7|9|11|14|15,400.0,1000.0,0.0007478917777614421,0.0020035032531280656,0.027220789088440632,0.028437685157632907,0.046266180981120834,0.02977423711472405,0.08169574942365909,0.04470004905021066,0.9502705392342892,0.864973520718887,0.04641991005627271,2.6320332217456923,0.09467455621301775,0.020710059171596865,0.0238751147842035
s5_003,5,0|3|5|10|11,400.0,1000.0,0.0006001734587240058,0.0015045037533781905,0.01936701861958396,0.021743313641638912,0.04338453735404147,0.008257420632069844,0.018542338916866484,0.013433122102591366,0.500402423539186,0.7219280948888023,0.0420646101964777,2.597754467952584,0.09467455621301775,0.020408163265305472,0.011111111111109876
s5_004,5,2|5|8|13|15,316.22776601683796,1000.0,0.0003884262090471722,0.001001834472940273,0.0210004765994641,0.02020418413289994,0.04233924879057628,0.033900943770722496,0.08357180621963611,0.050768888464506855,0.6730116670093538,0.9709505944548091,0.03288888888888764,2.615691420622268,0.044444444444444446,0.031999999999998724,0.022222222222219753
s5_005,5,1|7|8|9|10,400.0,1000.0,0.0004472894484398093,0.001001834472940273,0.0252993374178911,0.025543189790440783,0.04375575711374673,0.01671708201541668,0.0309180779391662,0.02795405857500128,0.500402423539186,0.7219280948888023,0.02801721283146001,2.6678913669310638,0.05536332179930796,0.0243055555555545,0.004382761139517577
s5_006,5,0|5|6|7|10,400.0,1000.0,0.000749429875758774,0.0020035032531280656,0.024634747863792928,0.026370391196472626,0.043274827080755154,0.010573950409634655,0.04127837792896468,0.0163048986648461,0.500402423539186,0.7219280948888023,0.031212575403758807,2.552397676832865,0.05536332179930796,0.021947873799724894,0.016326530612243567
s5_007,5,5|6|9|10|14,447.21359549995793,1000.0,0.0006644988375084582,0.0020035032531280656,0.023341234363168938,0.02421418215829838,0.04933363923209094,0.010285220786587395,0.03054037435166059,0.018074777871784665,0.500402423539186,0.7219280948888023,0.04433320517749506,2.6426675117175162,0.08888888888888889,0.031999999999998724,0.012110726643597568
s5_008,5,0|2|8|11|15,374.16573867739413,1000.0,0.000776763223758691,0.0020035032531280656,0.02249526539624826,0.023119910860962954,0.053658771466356225,0.03022715586386368,0.07573725741375556,0.049079197984090814,1.0549201679864768,0.9602297178610639,0.03853288915017202,2.5840548813903856,0.07142857142857142,0.021947873799724894,0.022222222222219753
