method,q,seed,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
Fully Local,0.5,1,1.6009093327929187,0.16519519016146655,0.16519519016146655,0.16519519016146655,0.2057042215019464,0.1789579131271624,0.21501279361546036,0.7691049523991486,0.6434846896902859
Fully Local,0.5,2,1.5315291585278508,0.15567908026278016,0.15567908026278016,0.15567908026278016,0.18368030227720736,0.16839986870456902,0.18325903899967666,0.7687027319336575,0.645837330975611
Fully Local,0.8,0,2.706630872845184,0.105287698097527,0.105287698097527,0.105287698097527,0.12103188484907146,0.20091452620321423,0.20325032323598857,0.8270892942865059,0.6662457098783735
Fully Local,0.8,1,2.387625476789424,0.10646793022751803,0.10646793022751803,0.10646793022751803,0.12361098974943159,0.19955571487358015,0.23192574679851527,0.8184785492143071,0.6630868506966099
Fully Local,0.8,2,3.0845732442669145,0.11504482608288522,0.11504482608288522,0.11504482608288522,0.12212333455681797,0.2270276964658151,0.19247825667262075,0.8528010118163143,0.7019302308988545
GCFL+,0.2,0,0.2640383448568596,0.41946474760770797,0.41946474760770797,0.41946474760770797,0.6438273638486862,0.3402420885022467,0.604951785504818,0.9124984546953472,0.7523381497721051
GCFL+,0.2,1,0.3061828386338588,0.3656351491808891,0.3656351491808891,0.3656351491808891,0.6106481283903122,0.30542755463426785,0.5514710083603859,0.8963021842212898,0.7382645278702709
GCFL+,0.2,2,0.25236397102050173,0.4363857924938202,0.4363857924938202,0.4363857924938202,0.6648776471614838,0.35975638703402024,0.6320781946182251,0.9190098821458281,0.7767497323399822
GCFL+,0.5,0,0.2804762900395621,0.3655589029192924,0.3655589029192924,0.3655589029192924,0.6203385293483734,0.31969279857389443,0.621316696703434,0.9046283038504622,0.740783766673494
GCFL+,0.5,1,0.2641001035497712,0.4023524850606918,0.4023524850606918,0.4023524850606918,0.6572989135980606,0.334925072138695,0.6498603463172913,0.9100536606679919,0.7418891388307896
GCFL+,0.5,2,0.2668718140450348,0.37752659618854517,0.37752659618854517,0.37752659618854517,0.613411220908165,0.3379593464169041,0.6088157922029496,0.9120321371668171,0.7496762175154521
GCFL+,0.8,0,0.4118775120239411,0.1776494644582271,0.1776494644582271,0.1776494644582271,0.3295672699809074,0.23468498550269706,0.3972927212715149,0.8568579868921073,0.6867261956041202
GCFL+,0.8,1,0.5743853532188887,0.12950376085937018,0.12950376085937018,0.12950376085937018,0.19251708462834355,0.1698368125615452,0.17444932460784907,0.7839962207657055,0.6525772630826259
